User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 170
Test name: A450,Date: 11/10/2016,Time: 6:32:51 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,1.268,
A,2,Sample X2,1.300,
A,3,Sample X3,0.873,
A,4,Sample X4,0.444,
A,5,Sample X5,0.261,
A,6,Sample X6,0.154,
A,7,Sample X7,0.131,
A,8,Sample X8,0.097,
A,9,Sample X9,1.911,
A,10,Sample X10,1.855,
A,11,Sample X11,1.837,
A,12,Sample X12,1.666,
B,1,Sample X13,1.558,
B,2,Sample X14,1.854,
B,3,Sample X15,0.643,
B,4,Sample X16,0.660,
B,5,Sample X17,0.098,
B,6,Sample X18,0.096,
B,7,Sample X19,0.074,
B,8,Sample X20,0.073,
B,9,Sample X21,0.116,
B,10,Sample X22,0.117,
B,11,Sample X23,0.097,
B,12,Sample X24,0.111,
C,1,Sample X25,0.838,
C,2,Sample X26,0.996,
C,3,Sample X27,0.254,
C,4,Sample X28,0.275,
C,5,Sample X29,0.694,
C,6,Sample X30,0.694,
C,7,Sample X31,0.185,
C,8,Sample X32,0.192,
C,9,Sample X33,0.201,
C,10,Sample X34,0.180,
C,11,Sample X35,0.115,
C,12,Sample X36,0.118,
D,1,Sample X37,1.643,
D,2,Sample X38,2.049,
D,3,Sample X39,0.742,
D,4,Sample X40,0.756,
D,5,Sample X41,1.940,
D,6,Sample X42,1.934,
D,7,Sample X43,1.337,
D,8,Sample X44,1.366,
D,9,Sample X45,0.636,
D,10,Sample X46,0.672,
D,11,Sample X47,0.182,
D,12,Sample X48,0.187,
E,1,Sample X49,1.820,
E,2,Sample X50,2.042,
E,3,Sample X51,1.431,
E,4,Sample X52,1.454,
E,5,Sample X53,0.992,
E,6,Sample X54,1.008,
E,7,Sample X55,0.279,
E,8,Sample X56,0.284,
E,9,Sample X57,0.100,
E,10,Sample X58,0.107,
E,11,Sample X59,0.099,
E,12,Sample X60,0.103,
F,1,Sample X61,0.084,
F,2,Sample X62,0.093,
F,3,Sample X63,0.071,
F,4,Sample X64,0.076,
F,5,Sample X65,1.940,
F,6,Sample X66,1.917,
F,7,Sample X67,1.177,
F,8,Sample X68,1.160,
F,9,Sample X69,0.077,
F,10,Sample X70,0.085,
F,11,Sample X71,0.078,
F,12,Sample X72,0.099,
G,1,Sample X73,1.052,
G,2,Sample X74,1.139,
G,3,Sample X75,0.349,
G,4,Sample X76,0.337,
G,5,Sample X77,1.898,
G,6,Sample X78,1.845,
G,7,Sample X79,1.100,
G,8,Sample X80,1.092,
G,9,Sample X81,1.738,
G,10,Sample X82,1.893,
G,11,Sample X83,1.364,
G,12,Sample X84,1.331,
H,1,Sample X85,0.338,
H,2,Sample X86,0.379,
H,3,Sample X87,0.127,
H,4,Sample X88,0.111,
H,5,Sample X89,1.787,
H,6,Sample X90,1.502,
H,7,Sample X91,0.940,
H,8,Sample X92,0.547,
H,9,Sample X93,0.281,
H,10,Sample X94,0.162,
H,11,Sample X95,0.110,
H,12,Sample X96,0.088,
