User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 7
Test name: A450,Date: 5/31/2017,Time: 3:48:10 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,1.456,
A,2,Sample X2,1.030,
A,3,Sample X3,0.561,
A,4,Sample X4,0.340,
A,5,Sample X5,0.263,
A,6,Sample X6,0.197,
A,7,Sample X7,0.174,
A,8,Sample X8,0.166,
A,9,Sample X9,0.430,
A,10,Sample X10,0.483,
A,11,Sample X11,0.212,
A,12,Sample X12,0.214,
B,1,Sample X13,0.236,
B,2,Sample X14,0.239,
B,3,Sample X15,0.183,
B,4,Sample X16,0.169,
B,5,Sample X17,1.226,
B,6,Sample X18,1.275,
B,7,Sample X19,0.458,
B,8,Sample X20,0.422,
B,9,Sample X21,0.201,
B,10,Sample X22,0.210,
B,11,Sample X23,0.491,
B,12,Sample X24,0.470,
C,1,Sample X25,1.420,
C,2,Sample X26,1.410,
C,3,Sample X27,0.758,
C,4,Sample X28,0.826,
C,5,Sample X29,0.194,
C,6,Sample X30,0.179,
C,7,Sample X31,0.172,
C,8,Sample X32,0.187,
C,9,Sample X33,1.036,
C,10,Sample X34,1.136,
C,11,Sample X35,0.347,
C,12,Sample X36,0.342,
D,1,Sample X37,1.813,
D,2,Sample X38,1.902,
D,3,Sample X39,1.495,
D,4,Sample X40,1.541,
D,5,Sample X41,0.463,
D,6,Sample X42,0.466,
D,7,Sample X43,0.211,
D,8,Sample X44,0.207,
D,9,Sample X45,1.694,
D,10,Sample X46,1.811,
D,11,Sample X47,0.869,
D,12,Sample X48,0.800,
E,1,Sample X49,0.192,
E,2,Sample X50,0.216,
E,3,Sample X51,0.166,
E,4,Sample X52,0.177,
E,5,Sample X53,0.292,
E,6,Sample X54,0.303,
E,7,Sample X55,0.170,
E,8,Sample X56,0.177,
E,9,Sample X57,1.098,
E,10,Sample X58,1.146,
E,11,Sample X59,0.345,
E,12,Sample X60,0.351,
F,1,Sample X61,0.161,
F,2,Sample X62,0.182,
F,3,Sample X63,0.153,
F,4,Sample X64,0.194,
F,5,Sample X65,1.501,
F,6,Sample X66,1.533,
F,7,Sample X67,0.615,
F,8,Sample X68,0.708,
F,9,Sample X69,1.345,
F,10,Sample X70,1.377,
F,11,Sample X71,0.449,
F,12,Sample X72,0.420,
G,1,Sample X73,0.155,
G,2,Sample X74,0.183,
G,3,Sample X75,0.138,
G,4,Sample X76,0.145,
G,5,Sample X77,0.658,
G,6,Sample X78,0.650,
G,7,Sample X79,0.220,
G,8,Sample X80,0.220,
G,9,Sample X81,1.419,
G,10,Sample X82,1.471,
G,11,Sample X83,0.507,
G,12,Sample X84,0.507,
H,1,Sample X85,1.458,
H,2,Sample X86,1.215,
H,3,Sample X87,1.400,
H,4,Sample X88,1.310,
H,5,Sample X89,1.240,
H,6,Sample X90,1.013,
H,7,Sample X91,0.517,
H,8,Sample X92,0.298,
H,9,Sample X93,0.220,
H,10,Sample X94,0.183,
H,11,Sample X95,0.141,
H,12,Sample X96,0.152,
