User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 184
Test name: A450,Date: 2/14/2017,Time: 4:27:00 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,1.949,
A,2,Sample X2,1.430,
A,3,Sample X3,0.793,
A,4,Sample X4,0.404,
A,5,Sample X5,0.272,
A,6,Sample X6,0.195,
A,7,Sample X7,0.168,
A,8,Sample X8,0.149,
A,9,Sample X9,0.167,
A,10,Sample X10,0.152,
A,11,Sample X11,2.105,
A,12,Sample X12,1.920,
B,1,Sample X13,2.341,
B,2,Sample X14,0.173,
B,3,Sample X15,2.122,
B,4,Sample X16,2.134,
B,5,Sample X17,0.179,
B,6,Sample X18,0.172,
B,7,Sample X19,0.172,
B,8,Sample X20,0.157,
B,9,Sample X21,2.805,
B,10,Sample X22,2.789,
B,11,Sample X23,2.126,
B,12,Sample X24,1.997,
C,1,Sample X25,0.209,
C,2,Sample X26,0.200,
C,3,Sample X27,0.189,
C,4,Sample X28,0.188,
C,5,Sample X29,1.456,
C,6,Sample X30,1.492,
C,7,Sample X31,0.380,
C,8,Sample X32,0.389,
C,9,Sample X33,0.254,
C,10,Sample X34,0.156,
C,11,Sample X35,0.150,
C,12,Sample X36,0.159,
D,1,Sample X37,0.646,
D,2,Sample X38,0.615,
D,3,Sample X39,0.261,
D,4,Sample X40,0.240,
D,5,Sample X41,0.694,
D,6,Sample X42,0.709,
D,7,Sample X43,0.234,
D,8,Sample X44,0.227,
D,9,Sample X45,1.223,
D,10,Sample X46,0.158,
D,11,Sample X47,0.301,
D,12,Sample X48,0.278,
E,1,Sample X49,1.914,
E,2,Sample X50,2.165,
E,3,Sample X51,0.877,
E,4,Sample X52,0.844,
E,5,Sample X53,0.157,
E,6,Sample X54,0.151,
E,7,Sample X55,0.147,
E,8,Sample X56,0.147,
E,9,Sample X57,0.156,
E,10,Sample X58,0.162,
E,11,Sample X59,0.131,
E,12,Sample X60,0.147,
F,1,Sample X61,0.973,
F,2,Sample X62,0.165,
F,3,Sample X63,0.283,
F,4,Sample X64,0.268,
F,5,Sample X65,2.218,
F,6,Sample X66,2.192,
F,7,Sample X67,2.010,
F,8,Sample X68,1.992,
F,9,Sample X69,0.424,
F,10,Sample X70,0.404,
F,11,Sample X71,0.142,
F,12,Sample X72,0.146,
G,1,Sample X73,0.158,
G,2,Sample X74,0.161,
G,3,Sample X75,0.148,
G,4,Sample X76,0.143,
G,5,Sample X77,2.210,
G,6,Sample X78,0.135,
G,7,Sample X79,1.036,
G,8,Sample X80,1.047,
G,9,Sample X81,1.929,
G,10,Sample X82,0.134,
G,11,Sample X83,1.300,
G,12,Sample X84,1.258,
H,1,Sample X85,0.353,
H,2,Sample X86,0.171,
H,3,Sample X87,0.182,
H,4,Sample X88,0.182,
H,5,Sample X89,1.697,
H,6,Sample X90,1.202,
H,7,Sample X91,0.621,
H,8,Sample X92,0.319,
H,9,Sample X93,0.193,
H,10,Sample X94,0.152,
H,11,Sample X95,0.141,
H,12,Sample X96,0.123,
