User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 168
Test name: A450,Date: 11/10/2016,Time: 6:18:49 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,1.360,
A,2,Sample X2,1.314,
A,3,Sample X3,0.893,
A,4,Sample X4,0.451,
A,5,Sample X5,0.295,
A,6,Sample X6,0.199,
A,7,Sample X7,0.161,
A,8,Sample X8,0.146,
A,9,Sample X9,1.940,
A,10,Sample X10,1.903,
A,11,Sample X11,1.800,
A,12,Sample X12,1.654,
B,1,Sample X13,1.615,
B,2,Sample X14,1.950,
B,3,Sample X15,0.732,
B,4,Sample X16,0.715,
B,5,Sample X17,0.184,
B,6,Sample X18,0.187,
B,7,Sample X19,0.173,
B,8,Sample X20,0.158,
B,9,Sample X21,0.203,
B,10,Sample X22,0.201,
B,11,Sample X23,0.140,
B,12,Sample X24,0.141,
C,1,Sample X25,0.906,
C,2,Sample X26,1.018,
C,3,Sample X27,0.317,
C,4,Sample X28,0.311,
C,5,Sample X29,0.706,
C,6,Sample X30,0.719,
C,7,Sample X31,0.215,
C,8,Sample X32,0.226,
C,9,Sample X33,0.227,
C,10,Sample X34,0.218,
C,11,Sample X35,0.146,
C,12,Sample X36,0.157,
D,1,Sample X37,1.745,
D,2,Sample X38,2.080,
D,3,Sample X39,0.836,
D,4,Sample X40,0.826,
D,5,Sample X41,2.057,
D,6,Sample X42,2.017,
D,7,Sample X43,1.424,
D,8,Sample X44,1.422,
D,9,Sample X45,0.713,
D,10,Sample X46,0.722,
D,11,Sample X47,0.223,
D,12,Sample X48,0.216,
E,1,Sample X49,1.896,
E,2,Sample X50,2.110,
E,3,Sample X51,1.466,
E,4,Sample X52,1.501,
E,5,Sample X53,1.004,
E,6,Sample X54,1.010,
E,7,Sample X55,0.299,
E,8,Sample X56,0.307,
E,9,Sample X57,0.142,
E,10,Sample X58,0.146,
E,11,Sample X59,0.134,
E,12,Sample X60,0.137,
F,1,Sample X61,0.163,
F,2,Sample X62,0.168,
F,3,Sample X63,0.156,
F,4,Sample X64,0.153,
F,5,Sample X65,2.010,
F,6,Sample X66,1.981,
F,7,Sample X67,1.199,
F,8,Sample X68,1.204,
F,9,Sample X69,0.144,
F,10,Sample X70,0.139,
F,11,Sample X71,0.126,
F,12,Sample X72,0.138,
G,1,Sample X73,1.063,
G,2,Sample X74,1.183,
G,3,Sample X75,0.411,
G,4,Sample X76,0.369,
G,5,Sample X77,1.895,
G,6,Sample X78,1.829,
G,7,Sample X79,1.081,
G,8,Sample X80,1.074,
G,9,Sample X81,1.742,
G,10,Sample X82,1.916,
G,11,Sample X83,1.353,
G,12,Sample X84,1.331,
H,1,Sample X85,0.385,
H,2,Sample X86,0.443,
H,3,Sample X87,0.196,
H,4,Sample X88,0.195,
H,5,Sample X89,1.852,
H,6,Sample X90,1.539,
H,7,Sample X91,0.936,
H,8,Sample X92,0.573,
H,9,Sample X93,0.300,
H,10,Sample X94,0.189,
H,11,Sample X95,0.145,
H,12,Sample X96,0.127,
