plateno	metafile	datafile
1	meta_plate01.tsv	SV-2016-10-13-hbELISA1.txt
2	meta_plate02.tsv	hbELISA00002-scan1.CSV
3	meta_plate03.tsv	hbELISA00003-2017-01-27.CSV
4	meta_plate04.tsv	SV-2017-02-02-hbELISA00004-175627.txt
5	meta_plate05.tsv	hbELISA00005-2017-02-14.csv
6	meta_plate06.tsv	hbELISA00006-2017-02-21.csv
7	meta_plate07.tsv	hb-elisa00007-2017-05-31.csv
8	meta_plate08.tsv	hb-elisa00008-2017-06-01.csv
