row	col	stype	detail	dilution
A	1	standard	200	1
A	2	standard	200	1
A	3	standard	66.6	1
A	4	standard	66.6	1
A	5	standard	22.2	1
A	6	standard	22.2	1
A	7	standard	7.4	1
A	8	standard	7.4	1
A	9	standard	2.5	1
A	10	standard	2.5	1
A	11	standard	0.82	1
A	12	standard	0.82	1
B	1	sample	1839	20
B	2	sample	1839	20
B	3	sample	1839	100
B	4	sample	1839	100
B	5	sample	1843	20
B	6	sample	1843	20
B	7	sample	1843	100
B	8	sample	1843	100
B	9	standard	0.27	1
B	10	standard	0.27	1
B	11	standard	0	1
B	12	standard	0	1
C	1	sample	1846	20
C	2	sample	1846	20
C	3	sample	1846	100
C	4	sample	1846	100
C	5	sample	1847	20
C	6	sample	1847	20
C	7	sample	1847	100
C	8	sample	1847	100
C	9	sample	1850	20
C	10	sample	1850	20
C	11	sample	1850	100
C	12	sample	1850	100
D	1	sample	1857	20
D	2	sample	1857	20
D	3	sample	1857	100
D	4	sample	1857	100
D	5	sample	1859	20
D	6	sample	1859	20
D	7	sample	1859	100
D	8	sample	1859	100
D	9	sample	1867	20
D	10	sample	1867	20
D	11	sample	1867	100
D	12	sample	1867	100
E	1	sample	1868	20
E	2	sample	1868	20
E	3	sample	1868	100
E	4	sample	1868	100
E	5	sample	1895	20
E	6	sample	1895	20
E	7	sample	1895	100
E	8	sample	1895	100
E	9	sample	1906	20
E	10	sample	1906	20
E	11	sample	1906	100
E	12	sample	1906	100
F	1	sample	1907	20
F	2	sample	1907	20
F	3	sample	1907	100
F	4	sample	1907	100
F	5	sample	1921	20
F	6	sample	1921	20
F	7	sample	1921	100
F	8	sample	1921	100
F	9	sample	1922	20
F	10	sample	1922	20
F	11	sample	1922	100
F	12	sample	1922	100
G	1	sample	1928	20
G	2	sample	1928	20
G	3	sample	1928	100
G	4	sample	1928	100
G	5	sample	1945	20
G	6	sample	1945	20
G	7	sample	1945	100
G	8	sample	1945	100
G	9	sample	1946	20
G	10	sample	1946	20
G	11	sample	1946	100
G	12	sample	1946	100
H	1	sample	1948	20
H	2	sample	1948	20
H	3	sample	1948	100
H	4	sample	1948	100
H	5	sample	1952	20
H	6	sample	1952	20
H	7	sample	1952	100
H	8	sample	1952	100
H	9	sample	1953	20
H	10	sample	1953	20
H	11	sample	1953	100
H	12	sample	1953	100
