row	col	stype	detail	dilution
A	1	standard	200	1
A	2	standard	66.6	1
A	3	standard	22.2	1
A	4	standard	7.4	1
A	5	standard	2.5	1
A	6	standard	0.82	1
A	7	standard	0.27	1
A	8	standard	0	1
A	9			
A	10			
A	11	sample	v1187.3	100
A	12	sample	v1187.3	100
B	1	sample	07-242	10
B	2			
B	3	sample	07-242	100
B	4	sample	07-242	100
B	5	sample	10-094	10
B	6			
B	7	sample	10-094	100
B	8	sample	10-094	100
B	9	sample	11-043	10
B	10	sample	11-043	10
B	11	sample	11-043	100
B	12	sample	11-043	100
C	1	sample	11-109	10
C	2	sample	11-109	10
C	3	sample	11-109	100
C	4	sample	11-109	100
C	5	sample	11-158	10
C	6	sample	11-158	10
C	7	sample	11-158	100
C	8	sample	11-158	100
C	9	sample	11-333	10
C	10			
C	11	sample	11-333	100
C	12	sample	11-333	100
D	1	sample	12-036	10
D	2	sample	12-036	10
D	3	sample	12-036	100
D	4	sample	12-036	100
D	5	sample	12-058	10
D	6	sample	12-058	10
D	7	sample	12-058	100
D	8	sample	12-058	100
D	9	sample	12-177	10
D	10			
D	11	sample	12-177	100
D	12	sample	12-177	100
E	1	sample	13-202	10
E	2	sample	13-202	10
E	3	sample	13-202	100
E	4	sample	13-202	100
E	5	sample	13-230	10
E	6			
E	7	sample	13-230	100
E	8	sample	13-230	100
E	9	sample	13-294	10
E	10	sample	13-294	10
E	11	sample	13-294	100
E	12	sample	13-294	100
F	1	sample	14-012	10
F	2			
F	3	sample	14-012	100
F	4	sample	14-012	100
F	5	sample	14-013	10
F	6	sample	14-013	10
F	7	sample	14-013	100
F	8	sample	14-013	100
F	9	sample	14-017	10
F	10	sample	14-017	10
F	11	sample	14-017	100
F	12	sample	14-017	100
G	1	sample	14-100	10
G	2			
G	3	sample	14-100	100
G	4	sample	14-100	100
G	5	sample	14-150	10
G	6			
G	7	sample	14-150	100
G	8	sample	14-150	100
G	9	sample	14-246	10
G	10			
G	11	sample	14-246	100
G	12	sample	14-246	100
H	1	sample	14-286	10
H	2			
H	3	sample	14-286	100
H	4	sample	14-286	100
H	5	standard	200	1
H	6	standard	66.6	1
H	7	standard	22.2	1
H	8	standard	7.4	1
H	9	standard	2.5	1
H	10	standard	0.82	1
H	11	standard	0.27	1
H	12	standard	0	1
