row	col	stype	detail	dilution
A	1	standard	0.0	1
A	2	standard	0.1	1
A	3	standard	0.2	1
A	4	standard	0.4	1
A	5	standard	0.8	1
A	6	standard	1.6	1
A	7	standard	0.0	1
A	8	standard	0.1	1
A	9	standard	0.2	1
A	10	standard	0.4	1
A	11	standard	0.8	1
A	12	standard	1.6	1
B	1	sample	K103-T0	1
B	2	sample	K103-T0	1
B	3	sample	K103-T1	1
B	4	sample	K103-T1	1
B	5	sample	K103-T2	1
B	6	sample	K103-T2	1
B	7	sample	K105-T0	1
B	8	sample	K105-T0	1
B	9	sample	K105-T1	1
B	10	sample	K105-T1	1
B	11	sample	K202-T0	1
B	12	sample	K202-T0	1
C	1	sample	K202-T1	1
C	2	sample	K202-T1	1
C	3	sample	K202-T2	1
C	4	sample	K202-T2	1
C	5	sample	K206-T0	1
C	6	sample	K206-T0	1
C	7	sample	K206-T1	1
C	8	sample	K206-T1	1
C	9	sample	K207-T0	1
C	10	sample	K207-T0	1
C	11	sample	K207-T1	1
C	12	sample	K207-T1	1
D	1	sample	K207-T2	1
D	2	sample	K207-T2	1
D	3	sample	K106-T0	1
D	4	sample	K106-T0	1
D	5	sample	K106-T1	1
D	6	sample	K106-T1	1
D	7	sample	K106-T2	1
D	8	sample	K106-T2	1
D	9	sample	K201-T0	1
D	10	sample	K201-T0	1
D	11	sample	K201-T1	1
D	12	sample	K201-T1	1
E	1	sample	K201-T2	1
E	2	sample	K201-T2	1
E	3	sample	K101-T0	1
E	4	sample	K101-T0	1
E	5	sample	K101-T1	1
E	6	sample	K101-T1	1
E	7	sample	K101-T2	1
E	8	sample	K101-T2	1
E	9	sample	K203-T0	1
E	10	sample	K203-T0	1
E	11	sample	K203-T1	1
E	12	sample	K203-T1	1
F	1	sample	K203-T2	1
F	2	sample	K203-T2	1
F	3	sample	K104-T0	1
F	4	sample	K104-T0	1
F	5	sample	K104-T1	1
F	6	sample	K104-T1	1
F	7	sample	K104-T2	1
F	8	sample	K104-T2	1
