row	col	stype	detail	dilution
A	1	control	poscon lo	1
A	2	standard	20	1
A	3	sample	44F	50
A	4	sample	1921	1
A	5	control	negcon	1
B	1	control	poscon hi	1
B	2	standard	20	1
B	3	sample	44F	50
B	4	sample	1921	1
B	5	sample	v1187.3	100
C	1	standard	2	1
C	2	standard	1	1
C	3	sample	44F	10
C	4	sample	1921	10
C	5	sample	v1187.3	100
D	1	standard	2	1
D	2	standard	1	1
D	3	sample	44F	10
D	4	sample	1921	10
D	5	sample	v1187.3	100
E	1	standard	4	1
E	2	standard	4	1
E	3	sample	41M	50
E	4	sample	1839	1
E	5	sample	v1202.1	1
F	1	standard	5	1
F	2	standard	5	1
F	3	sample	41M	50
F	4	sample	1839	1
F	5	sample	v1202.1	1
G	1	standard	10	1
G	2	standard	10	1
G	3	sample	41M	10
G	4	sample	1839	10
G	5	sample	v1202.1	10
H	1			
H	2			
H	3	sample	41M	10
H	4	sample	1839	10
H	5	sample	v1202.1	10
