plate	row	col	a450_620	stype	detail	dilution	above_baseline	ngml	ngml_trunc	flag
38	A	1	0.079	standard	1	1	TRUE	0.987645975220008	1	LLQ
38	A	2	0.202	standard	2	1	TRUE	2.40416069921885	2.40416069921885	
38	A	3	0.34	standard	4	1	TRUE	3.93770736506306	3.93770736506306	
38	A	4	0.457	standard	5	1	TRUE	5.21136447544649	5.21136447544649	
38	A	5	0.934	standard	10	1	TRUE	10.2592966841621	10.2592966841621	
38	A	6	1.865	standard	20	1	TRUE	19.7566870480919	20	ULQ
38	A	7	0.072	standard	1	1	TRUE	0.904519380022424	1	LLQ
38	A	8	0.17	standard	2	1	TRUE	2.04166951085964	2.04166951085964	
38	A	9	0.305	standard	4	1	TRUE	3.55251757426033	3.55251757426033	
38	A	10	0.46	standard	5	1	TRUE	5.24377678923625	5.24377678923625	
38	A	11	0.925	standard	10	1	TRUE	10.1655941659132	10.1655941659132	
38	A	12	1.743	standard	20	1	TRUE	18.5298569714409	18.5298569714409	
38	B	1	1.067	control	poscon hi	1	TRUE	11.6387374567993	11.6387374567993	
38	B	2	0.297	control	poscon lo	1	TRUE	3.46415761038299	3.46415761038299	
38	B	3	0.005	control	negcon	1	FALSE	0.0722347203034197	1	LLQ
38	B	4	2.018			1	TRUE	21.289348564309	20	ULQ
38	B	5	2.422			1	TRUE	25.3083022432959	20	ULQ
38	B	6	0.932	sample	v1205.6+C-IPC	50	TRUE	511.923900325626	511.923900325626	
38	B	7	0.813	sample	v1205.6+C-IPC	50	TRUE	449.767738002704	449.767738002704	
38	B	8	0.86	sample	v1205.6+C-IPC	50	TRUE	474.370191839938	474.370191839938	
38	B	9	0.078	sample	30AR	50	TRUE	48.7897598197212	50	LLQ
38	B	10	0.105	sample	30AR	50	TRUE	64.6635672880866	64.6635672880866	
38	B	11	0.458	sample	30AR	10	TRUE	52.2216981511844	52.2216981511844	
38	B	12	0.483	sample	30AR	10	TRUE	54.9190878460157	54.9190878460157	
