plate	row	col	a450_620	stype	detail	dilution	above_baseline	ngml	ngml_trunc	flag
7	A	1	2.984	standard	20	1	TRUE	20.1527487726496	20	ULQ
7	A	2	1.813	standard	10	1	TRUE	11.4121780178513	11.4121780178513	
7	A	3	0.829	standard	5	1	TRUE	4.67224268523749	4.67224268523749	
7	A	4	0.734	standard	4	1	TRUE	4.06631602866124	4.06631602866124	
7	A	5	0.374	standard	2	1	TRUE	1.88372626544233	1.88372626544233	
7	A	6	0.229	standard	1	1	TRUE	1.07619803957282	1	LLQ
7	A	7	2.804	standard	20	1	TRUE	18.7714158081123	18.7714158081123	
7	A	8	1.638	standard	10	1	TRUE	10.1638481291864	10.1638481291864	
7	A	9	0.841	standard	5	1	TRUE	4.7495056654334	4.7495056654334	
7	A	10	0.752	standard	4	1	TRUE	4.1803150915846	4.1803150915846	
7	A	11	0.353	standard	2	1	TRUE	1.76350291039303	1.76350291039303	
7	A	12	0.23	standard	1	1	TRUE	1.08156301699306	1.08156301699306	
7	B	1	4.33	sample	2109	10	TRUE	308.219795236763	200	ULQ
7	B	2	4.402	sample	2109	10	TRUE	314.07564400179	200	ULQ
7	B	3	1.064	sample	2109	50	TRUE	310.592681380891	310.592681380891	
7	B	4	1.147	sample	2109	50	TRUE	338.392359568651	338.392359568651	
7	B	5	2.931	sample	2122	10	TRUE	197.447668686968	200	ULQ
7	B	6	3.081	sample	2122	10	TRUE	209.020757550194	200	ULQ
7	B	7	0.555	sample	2122	50	TRUE	147.781795871258	147.781795871258	
7	B	8	0.587	sample	2122	50	TRUE	157.544988074512	157.544988074512	
7	B	9	1.321	sample	2158	10	TRUE	79.5158296097344	79.5158296097344	
7	B	10	1.445	sample	2158	10	TRUE	88.0890834694974	88.0890834694974	
7	B	11	0.079	sample	2158	50	TRUE	15.9724281350696	50	LLQ
7	B	12	0.094	sample	2158	50	TRUE	19.4776036106162	50	LLQ
7	C	1	3.628	sample	2182	10	TRUE	251.877673640153	200	ULQ
7	C	2	4.129	sample	2182	10	TRUE	291.945556904692	200	ULQ
7	C	3	0.598	sample	2182	50	TRUE	160.918699429573	160.918699429573	
7	C	4	0.657	sample	2182	50	TRUE	179.16055783369	179.16055783369	
7	C	5	0.242	sample	2231	10	TRUE	11.4619636741536	11.4619636741536	
7	C	6	0.217	sample	2231	10	TRUE	10.1207996886696	10	LLQ
7	C	7	0.069	sample	2231	50	TRUE	13.6864579359829	50	LLQ
7	C	8	0.08	sample	2231	50	TRUE	16.2033728093149	50	LLQ
7	C	9	2.606	sample	2263	10	TRUE	172.663863231357	172.663863231357	
7	C	10	2.691	sample	2263	10	TRUE	179.105755353303	179.105755353303	
7	C	11	0.499	sample	2263	50	TRUE	130.889324730337	130.889324730337	
7	C	12	0.476	sample	2263	50	TRUE	124.02695877142	124.02695877142	
7	D	1	0.381	sample	2363	10	TRUE	19.2401580352261	19.2401580352261	
7	D	2	0.413	sample	2363	10	TRUE	21.095056583032	21.095056583032	
