plate	row	col	a750	stype	detail	dilution	mgml	flag
8	A	1	0.0646	standard	0.0	1	0.1	
8	A	2	0.0821	standard	0.1	1	0.1	
8	A	3	0.1035	standard	0.2	1	0.220764605609746	
8	A	4	0.1229	standard	0.4	1	0.339267959840008	
8	A	5	0.2156	standard	0.8	1	0.905518523610382	
8	A	6	0.3478	standard	1.6	1	1.6	
8	A	7	0.0594	standard	0.0	1	0.1	
8	A	8	0.0828	standard	0.1	1	0.1	
8	A	9	0.1054	standard	0.2	1	0.232370604219926	
8	A	10	0.1517	standard	0.4	1	0.515190465089056	
8	A	11	0.2171	standard	0.8	1	0.914681154092103	
8	A	12	0.2704	standard	1.6	1	1.24025995720927	
8	B	1	0.0887	sample	K103-T0	1	0.130359984856763	
8	B	2	0.1163	sample	K103-T0	1	0.298952385720434	
8	B	3	0.1159	sample	K103-T1	1	0.296509017591975	
8	B	4	0.1163	sample	K103-T1	1	0.298952385720434	
8	B	5	0.0886	sample	K103-T2	1	0.129749142824648	
8	B	6	0.1067	sample	K103-T2	1	0.240311550637418	
8	B	7	0.168	sample	K105-T0	1	0.61475771632376	
8	B	8	0.1684	sample	K105-T0	1	0.617201084452219	
8	B	9	0.1711	sample	K105-T1	1	0.633693819319318	
8	B	10	0.1682	sample	K105-T1	1	0.61597940038799	
8	B	11	0.141	sample	K202-T0	1	0.449830367652778	
8	B	12	0.1227	sample	K202-T0	1	0.338046275775778	
8	C	1	0.1311	sample	K202-T1	1	0.389357006473417	
8	C	2	0.1525	sample	K202-T1	1	0.520077201345974	
8	C	3	0.1366	sample	K202-T2	1	0.422953318239729	
8	C	4	0.1461	sample	K202-T2	1	0.48098331129063	
8	C	5	0.0975	sample	K206-T0	1	0.184114083682861	
8	C	6	0.1013	sample	K206-T0	1	0.207326080903222	
8	C	7	0.0907	sample	K206-T1	1	0.142576825499058	
8	C	8	0.1014	sample	K206-T1	1	0.207936922935336	
8	C	9	0.0988	sample	K207-T0	1	0.192055030100353	
8	C	10	0.1106	sample	K207-T0	1	0.264134389889894	
8	C	11	0.1	sample	K207-T1	1	0.19938513448573	
8	C	12	0.1068	sample	K207-T1	1	0.240922392669533	
8	D	1	0.0729	sample	K207-T2	1	0.1	
8	D	2	0.107	sample	K207-T2	1	0.242144076733762	
8	D	3	0.1315	sample	K106-T0	1	0.391800374601876	
8	D	4	0.1432	sample	K106-T0	1	0.463268892359302	
8	D	5	0.1369	sample	K106-T1	1	0.424785844336073	
8	D	6	0.1478	sample	K106-T1	1	0.491367625836581	
8	D	7	0.1059	sample	K106-T2	1	0.2354248143805	
8	D	8	0.1249	sample	K106-T2	1	0.351484800482303	
8	D	9	0.1094	sample	K201-T0	1	0.256804285504517	
8	D	10	0.1331	sample	K201-T0	1	0.401573847115712	
8	D	11	0.0971	sample	K201-T1	1	0.181670715554402	
8	D	12	0.1124	sample	K201-T1	1	0.275129546467959	
8	E	1	0.0594	sample	K201-T2	1	0.1	
8	E	2	0.1041	sample	K201-T2	1	0.224429657802435	
8	E	3	0.083	sample	K101-T0	1	0.1	
8	E	4	0.094	sample	K101-T0	1	0.162734612558845	
8	E	5	0.0903	sample	K101-T1	1	0.140133457370599	
8	E	6	0.0971	sample	K101-T1	1	0.181670715554402	
8	E	7	0.0855	sample	K101-T2	1	0.110813039829091	
8	E	8	0.0881	sample	K101-T2	1	0.126694932664075	
8	E	9	0.0551	sample	K203-T0	1	0.1	
8	E	10	0.0647	sample	K203-T0	1	0.1	
8	E	11	0.053	sample	K203-T1	1	0.1	
8	E	12	0.0558	sample	K203-T1	1	0.1	
8	F	1	0.0532	sample	K203-T2	1	0.1	
8	F	2	0.0398	sample	K203-T2	1	0.1	
8	F	3	0.0762	sample	K104-T0	1	0.1	
8	F	4	0.0763	sample	K104-T0	1	0.1	
8	F	5	0.0677	sample	K104-T1	1	0.1	
8	F	6	0.0675	sample	K104-T1	1	0.1	
8	F	7	0.078	sample	K104-T2	1	0.1	
8	F	8	0.0818	sample	K104-T2	1	0.1	
