plate	row	col	a750	stype	detail	dilution	mgml	flag
6	A	1	0.4223	standard	1.6	1	1.6	
6	A	2	0.28	standard	.8	1	0.900505360666661	
6	A	3	0.1957	standard	.4	1	0.483973261492241	
6	A	4	0.1385	standard	.2	1	0.201344126583856	
6	A	5	0.1168	standard	.1	1	0.1	
6	A	6	0.0869	standard	0	1	0.1	
6	A	7	0.4031	standard	1.6	1	1.50875092897474	
6	A	8	0.25	standard	.8	1	0.752273296903522	
6	A	9	0.1927	standard	.4	1	0.469150055115927	
6	A	10	0.1375	standard	.2	1	0.196403057791752	
6	A	11	0.1171	standard	.1	1	0.1	
6	A	12	0.0872	standard	0	1	0.1	
6	B	1	0.1555	sample	PL1	200	57.068459209927	
6	B	2	0.1563	sample	PL1	200	57.8590302166637	
6	B	3	0.0911	sample	PL1	1000	100	
6	B	4	0.0908	sample	PL1	1000	100	
6	B	5	0.1661	sample	PL2	200	67.5435250491888	
6	B	6	0.1629	sample	PL2	200	64.3812410222418	
6	B	7	0.0987	sample	PL2	1000	100	
6	B	8	0.0932	sample	PL2	1000	100	
6	B	9	0.1466	sample	PL3	200	48.2733567599808	
6	B	10	0.153	sample	PL3	200	54.5979248138747	
6	B	11	0.0868	sample	PL3	1000	100	
6	B	12	0.0867	sample	PL3	1000	100	
6	C	1	0.3038	sample	BUF1	200	203.62055958375	
6	C	2	0.3069	sample	BUF1	200	206.684022234855	
6	C	3	0.1233	sample	BUF1	1000	126.239880943866	
6	C	4	0.1294	sample	BUF1	1000	156.380400575704	
6	C	5	0.2876	sample	BUF2	200	187.611496697331	
6	C	6	0.2954	sample	BUF2	200	195.319564013014	
6	C	7	0.1226	sample	BUF2	1000	122.781132789393	
6	C	8	0.1388	sample	BUF2	1000	202.826447221488	
6	C	9	0.2886	sample	BUF3	200	188.599710455752	
6	C	10	0.2979	sample	BUF3	200	197.790098409067	
6	C	11	0.1245	sample	BUF3	1000	132.169163494392	
6	C	12	0.1358	sample	BUF3	1000	188.003240845174	
6	D	1	0.3969	sample	RBC1	200	295.623260492738	
6	D	2	0.4048	sample	RBC1	200	303.430149184263	
6	D	3	0.1389	sample	RBC1	1000	203.320554100698	
6	D	4	0.1577	sample	RBC1	1000	296.212647392265	
6	D	5	0.3612	sample	RBC2	200	260.344029317111	
6	D	6	0.3712	sample	RBC2	200	270.22616690132	
6	D	7	0.1422	sample	RBC2	1000	219.626081114643	
6	D	8	0.1483	sample	RBC2	1000	249.766600746482	
6	D	9	0.338	sample	RBC3	200	237.417470121746	
6	D	10	0.311	sample	RBC3	200	210.735698644381	
6	D	11	0.1403	sample	RBC3	1000	210.238050409645	
6	D	12	0.1371	sample	RBC3	1000	194.42663027491	
