plate	row	col	a750	stype	detail	dilution	mgml	flag
1	A	1	0.3423	standard	2	1	1.6	
1	A	2	0.3669	standard	2	1	1.6	
1	A	3	0.2115	standard	1	1	1.03347086111981	
1	A	4	0.2112	standard	1	1	1.0315242924212	
1	A	5	0.1394	standard	.5	1	0.565645517221276	
1	A	6	0.1387	standard	.5	1	0.561103523591193	
1	A	7	0.0923	standard	.25	1	0.260034231539988	
1	A	8	0.0909	standard	.25	1	0.250950244279822	
1	A	9	0.0639	standard	.125	1	0.1	
1	A	10	0.0675	standard	.125	1	0.1	
1	A	11	0.0488	standard	0	1	0.1	
1	A	12	0.0477	standard	0	1	0.1	
1	B	1	0.1463	sample	v1209.1	1	0.610416597289235	
1	B	2	0.1841	sample	v1205.6	1	0.855684253313708	
1	B	3	0.1703	sample	v1187.3	1	0.766142093177789	
1	B	4	0.1043	sample	165.2	1	0.337896979484265	
1	B	5	0.0936	sample	v1202.1	1	0.268469362567285	
1	B	6	0.1597	sample	v1208.1	1	0.697363332493678	
1	B	7	0.1157	sample	v1224.7	1	0.411866590031328	
1	B	8	0.1711	sample	v1238.5	1	0.771332943040741	
1	B	9	0.175	sample	v1234.1	1	0.796638336122631	
1	C	1	0.1275	sample	v1209.1	1	0.488431625509867	
1	C	2	0.1577	sample	v1205.6	1	0.684386207836298	
1	C	3	0.1642	sample	v1187.3	1	0.726561862972781	
1	C	4	0.0899	sample	165.2	1	0.244461681951132	
1	C	5	0.0827	sample	v1202.1	1	0.197744033184566	
1	C	6	0.1417	sample	v1208.1	1	0.580569210577262	
1	C	7	0.1109	sample	v1224.7	1	0.380721490853618	
1	C	8	0.1503	sample	v1238.5	1	0.636370846603994	
1	C	9	0.1664	sample	v1234.1	1	0.740836700095899	
