plate	row	col	a750	stype	detail	dilution	mgml	flag
9	A	1	0.275	standard	0.0	1	0.1	
9	A	2	0.299	standard	0.1	1	0.201767823080979	
9	A	3	0.303	standard	0.2	1	0.225385236349906	
9	A	4	0.334	standard	0.4	1	0.408420189184087	
9	A	5	0.418	standard	0.8	1	0.904385867831544	
9	A	6	0.528	standard	1.6	1	1.55386473272702	
9	A	7	0.258	standard	0.0	1	0.1	
9	A	8	0.272	standard	0.1	1	0.1	
9	A	9	0.281	standard	0.2	1	0.1	
9	A	10	0.334	standard	0.4	1	0.408420189184087	
9	A	11	0.391	standard	0.8	1	0.74496832826629	
9	A	12	0.535	standard	1.6	1	1.59519520594765	
9	B	1	0.351	sample	IZ_2071	1	0.508794195577024	
9	B	2	0.34	sample	IZ_2071	1	0.443846309087476	
9	B	3	0.329	sample	IZ_1287	1	0.378898422597928	
9	B	4	0.317	sample	IZ_1287	1	0.308046182791149	
9	B	5	0.355	sample	IZ_2114	1	0.532411608845951	
9	B	6	0.334	sample	IZ_2114	1	0.408420189184087	
9	B	7	0.364	sample	IZ_1681	1	0.585550788701035	
9	B	8	0.374	sample	IZ_1681	1	0.644594321873352	
9	B	9	0.354	sample	IZ_1740	1	0.526507255528719	
9	B	10	0.352	sample	IZ_1740	1	0.514698548894256	
9	B	11	0.29	sample	IZ_396	1	0.148628643225894	
9	B	12	0.301	sample	IZ_396	1	0.213576529715442	
9	C	1	0.341	sample	IZ_45	1	0.449750662404708	
9	C	2	0.34	sample	IZ_45	1	0.443846309087476	
9	C	3	0.443	sample	IZ_2337	1	1.05199470076234	
9	C	4	0.446	sample	IZ_2337	1	1.06970776071403	
9	C	5	0.32	sample	IZ_2166	1	0.325759242742844	
9	C	6	0.304	sample	IZ_2166	1	0.231289589667137	
9	C	7	0.323	sample	IZ_2736	1	0.343472302694539	
9	C	8	0.32	sample	IZ_2736	1	0.325759242742844	
9	C	9	0.35	sample	IZ_1993	1	0.502889842259792	
9	C	10	0.335	sample	IZ_1993	1	0.414324542501318	
9	C	11	0.497	sample	IZ_2035	1	1.37082977989284	
9	C	12	0.483	sample	IZ_2035	1	1.2881688334516	
9	D	1	0.408	sample	IZ_28	1	0.845342334659227	
9	D	2	0.402	sample	IZ_28	1	0.809916214755838	
9	D	3	0.331	sample	IZ_2178	1	0.390707129232392	
9	D	4	0.329	sample	IZ_2178	1	0.378898422597928	
9	D	5	0.322	sample	IZ_4319	1	0.337567949377307	
9	D	6	0.318	sample	IZ_4319	1	0.31395053610838	
9	D	7	0.355	sample	IZ_2923	1	0.532411608845951	
9	D	8	0.35	sample	IZ_2923	1	0.502889842259792	
9	D	9	0.344	sample	IZ_4272	1	0.467463722356402	
9	D	10	0.327	sample	IZ_4272	1	0.367089715963465	
9	D	11	0.308	sample	IZ_3916	1	0.254907002936064	
9	D	12	0.318	sample	IZ_3916	1	0.31395053610838	
9	E	1	0.354	sample	IZ_4383	1	0.526507255528719	
9	E	2	0.345	sample	IZ_4383	1	0.473368075673634	
9	E	3	0.34	sample	IZ_4296	1	0.443846309087476	
9	E	4	0.317	sample	IZ_4296	1	0.308046182791149	
9	E	5	0.307	sample	IZ_408	1	0.249002649618832	
9	E	6	0.308	sample	IZ_408	1	0.254907002936064	
9	E	7	0.327	sample	IZ_4254	1	0.367089715963465	
9	E	8	0.292	sample	IZ_4254	1	0.160437349860358	
9	E	9	0.297	sample	IZ_3498	1	0.189959116446516	
9	E	10	0.296	sample	IZ_3498	1	0.184054763129284	
9	E	11	0.318	sample	IZ_711	1	0.31395053610838	
9	E	12	0.319	sample	IZ_711	1	0.319854889425612	
9	F	1	0.335	sample	IZ_2161	1	0.414324542501318	
9	F	2	0.327	sample	IZ_2161	1	0.367089715963465	
9	F	3	0.297	sample	IZ_3304	1	0.189959116446516	
9	F	4	0.276	sample	IZ_3304	1	0.1	
9	F	5	0.364	sample	IZ_1233	1	0.585550788701035	
9	F	6	0.373	sample	IZ_1233	1	0.63868996855612	
9	F	7	0.323	sample	IZ_690	1	0.343472302694539	
9	F	8	0.34	sample	IZ_690	1	0.443846309087476	
9	F	9	0.35	sample	IZ_1168	1	0.502889842259792	
9	F	10	0.356	sample	IZ_1168	1	0.538315962163183	
