plate	row	col	a750	stype	detail	dilution	mgml	flag
4	A	1	0.521	standard	1.6	1	1.40385832086935	
4	A	2	0.436	standard	.8	1	0.899996690976956	
4	A	3	0.358	standard	.4	1	0.437629548252174	
4	A	4	0.322	standard	.2	1	0.224229328533044	
4	A	5	0.301	standard	.1	1	0.1	
4	A	6	0.277	standard	0	1	0.1	
4	A	7	0.401	sample	v1234.1	1	0.692524255138913	
4	A	8	0.392	sample	v1234.1	1	0.63917420020913	
4	A	9	0.335	sample	165.2	1	0.301290518987174	
4	A	10	0.329	sample	165.2	1	0.265723815700653	
4	A	11	0.397	sample	2109	1	0.668813119614565	
4	A	12	0.393	sample	2109	1	0.645101984090217	
4	B	1	0.356	sample	2122	1	0.42577398049	
4	B	2	0.351	sample	2122	1	0.396135061084565	
4	B	3	0.331	sample	2158	1	0.277579383462826	
4	B	4	0.305	sample	2158	1	0.123457002554566	
4	B	5	0.394	sample	2182	1	0.651029767971304	
4	B	6	0.387	sample	2182	1	0.609535280803696	
4	B	7	0.306	sample	2231	1	0.129384786435653	
4	B	8	0.297	sample	2231	1	0.1	
4	B	9	0.336	sample	2263	1	0.307218302868261	
4	B	10	0.324	sample	2263	1	0.236084896295218	
4	B	11	0.317	sample	2363	1	0.194590409127609	
4	B	12	0.321	sample	2363	1	0.218301544651957	
4	C	1	0.412	sample	2408	1	0.757729877830869	
4	C	2	0.422	sample	2408	1	0.817007716641739	
4	C	3	0.383	sample	2413	1	0.585824145279348	
4	C	4	0.386	sample	2413	1	0.603607496922609	
4	C	5	0.409	sample	2572	1	0.739946526187608	
4	C	6	0.402	sample	2572	1	0.69845203902	
4	C	7	0.405	sample	2579	1	0.716235390663261	
4	C	8	0.411	sample	2579	1	0.751802093949782	
4	C	9	0.374	sample	2616	1	0.532474090349565	
4	C	10	0.358	sample	2616	1	0.437629548252174	
4	C	11	0.423	sample	2747	1	0.822935500522826	
4	C	12	0.405	sample	2747	1	0.716235390663261	
4	D	1	0.372	sample	2777	1	0.520618522587391	
4	D	2	0.376	sample	2777	1	0.544329658111739	
4	D	3	0.382	sample	2798	1	0.579896361398261	
4	D	4	0.369	sample	2798	1	0.50283517094413	
4	D	5	0.415	sample	2869	1	0.77551322947413	
4	D	6	0.415	sample	2869	1	0.77551322947413	
4	D	7	0.469	sample	2881	1	1.09561355905283	
4	D	8	0.479	sample	2881	1	1.15489139786369	
4	D	9	0.593	sample	2974	1	1.6	
4	D	10	0.604	sample	2974	1	1.6	
4	E	1	0.558	standard	1.6	1	1.6	
4	E	2	0.439	standard	.8	1	0.917780042620217	
4	E	3	0.351	standard	.4	1	0.396135061084565	
4	E	4	0.327	standard	.2	1	0.253868247938479	
4	E	5	0.295	standard	.1	1	0.1	
4	E	6	0.271	standard	0	1	0.1	
