plate	row	col	a750	stype	detail	dilution	mgml	flag
3	A	1	0.0574	standard	0	1	0.1	
3	A	2	0.0693	standard	.1	1	0.1	
3	A	3	0.0835	standard	.2	1	0.185028140046158	
3	A	4	0.1209	standard	.4	1	0.435599471270542	
3	A	5	0.1809	standard	.8	1	0.837585564143886	
3	A	6	0.29	standard	1.6	1	1.56853027635192	
3	A	7	0.0548	standard	0	1	0.1	
3	A	8	0.0658	standard	.1	1	0.1	
3	A	9	0.0827	standard	.2	1	0.179668325474513	
3	A	10	0.1207	standard	.4	1	0.434259517627631	
3	A	11	0.1759	standard	.8	1	0.804086723071108	
3	A	12	0.2941	standard	1.6	1	1.59599932603159	
3	B	1	0.3456	sample	1857 supe	1	1.6	
3	B	2	0.3312	sample	1857 supe	1	1.6	
3	B	3	0.1784	sample	1857 exo	1	0.820836143607497	
3	B	4	0.1852	sample	1857 exo	1	0.866394567466476	
3	B	5	0.1816	sample	1857 neat	1	0.842275401894075	
3	B	6	0.1847	sample	1857 neat	1	0.863044683359198	
3	B	7	0.3333	sample	1867 supe	1	1.6	
3	B	8	0.3252	sample	1867 supe	1	1.6	
3	B	9	0.1703	sample	1867 exo	1	0.766568021069596	
3	B	10	0.1743	sample	1867 exo	1	0.793367093927818	
3	B	11	0.0844	sample	1867 neat	1	0.191057931439258	
3	B	12	0.0833	sample	1867 neat	1	0.183688186403247	
3	C	1	0.3423	sample	1906 supe	1	1.6	
3	C	2	0.339	sample	1906 supe	1	1.6	
3	C	3	0.2007	sample	1906 exo	1	0.97024097479209	
3	C	4	0.1944	sample	1906 exo	1	0.928032435040389	
3	C	5	0.1117	sample	1906 neat	1	0.373961603696629	
3	C	6	0.1199	sample	1906 neat	1	0.428899703055987	
3	C	7	0.33	sample	1945 supe	1	1.6	
3	C	8	0.3482	sample	1945 supe	1	1.6	
3	C	9	0.185	sample	1945 exo	1	0.865054613823565	
3	C	10	0.1972	sample	1945 exo	1	0.946791786041145	
3	C	11	0.1677	sample	1945 neat	1	0.74914862371175	
3	C	12	0.1797	sample	1945 neat	1	0.829545842286419	
3	D	1	0.1035	sample	1	1	0.319023504337273	
3	D	2	0.1092	sample	2	1	0.35721218316024	
3	D	3	0.2073	sample	3	1	1.01445944500816	
3	D	4	0.1513	sample	4	1	0.639272424993036	
3	D	5	0.1287	sample	5	1	0.487857663344077	
3	D	6	0.1784	sample	6	1	0.820836143607497	
3	D	7	0.1563	sample	7	1	0.672771266065815	
3	D	8	0.1949	sample	8	1	0.931382319147666	
3	D	9	0.111	sample	9	1	0.36927176594644	
3	D	10	0.1106	sample	10	1	0.366591858660618	
3	D	11	0.1342	sample	11	1	0.524706388524134	
3	D	12	0.1392	sample	12	1	0.558205229596912	
3	E	1	0.0996	sample	13	1	0.292894408300505	
3	E	2	0.0792	sample	14	1	0.156219136723568	
3	E	3	0.0962	sample	15	1	0.270115196371016	
3	E	4	0.1042	sample	16	1	0.323713342087462	
3	E	5	0.232	sample	17	1	1.17994371990768	
3	E	6	0.2721	sample	18	1	1.44860442531137	
