User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 6
Test name: A750,Date: 5/19/2017,Time: 2:34:10 PM
Absorbance

Well Row,Well Col,Content,Raw Data (750BP),
A,1,Sample X1,0.275,
A,2,Sample X2,0.299,
A,3,Sample X3,0.303,
A,4,Sample X4,0.334,
A,5,Sample X5,0.418,
A,6,Sample X6,0.528,
A,7,Sample X7,0.258,
A,8,Sample X8,0.272,
A,9,Sample X9,0.281,
A,10,Sample X10,0.334,
A,11,Sample X11,0.391,
A,12,Sample X12,0.535,
B,1,Sample X13,0.351,
B,2,Sample X14,0.340,
B,3,Sample X15,0.329,
B,4,Sample X16,0.317,
B,5,Sample X17,0.355,
B,6,Sample X18,0.334,
B,7,Sample X19,0.364,
B,8,Sample X20,0.374,
B,9,Sample X21,0.354,
B,10,Sample X22,0.352,
B,11,Sample X23,0.290,
B,12,Sample X24,0.301,
C,1,Sample X25,0.341,
C,2,Sample X26,0.340,
C,3,Sample X27,0.443,
C,4,Sample X28,0.446,
C,5,Sample X29,0.320,
C,6,Sample X30,0.304,
C,7,Sample X31,0.323,
C,8,Sample X32,0.320,
C,9,Sample X33,0.350,
C,10,Sample X34,0.335,
C,11,Sample X35,0.497,
C,12,Sample X36,0.483,
D,1,Sample X37,0.408,
D,2,Sample X38,0.402,
D,3,Sample X39,0.331,
D,4,Sample X40,0.329,
D,5,Sample X41,0.322,
D,6,Sample X42,0.318,
D,7,Sample X43,0.355,
D,8,Sample X44,0.350,
D,9,Sample X45,0.344,
D,10,Sample X46,0.327,
D,11,Sample X47,0.308,
D,12,Sample X48,0.318,
E,1,Sample X49,0.354,
E,2,Sample X50,0.345,
E,3,Sample X51,0.340,
E,4,Sample X52,0.317,
E,5,Sample X53,0.307,
E,6,Sample X54,0.308,
E,7,Sample X55,0.327,
E,8,Sample X56,0.292,
E,9,Sample X57,0.297,
E,10,Sample X58,0.296,
E,11,Sample X59,0.318,
E,12,Sample X60,0.319,
F,1,Sample X61,0.335,
F,2,Sample X62,0.327,
F,3,Sample X63,0.297,
F,4,Sample X64,0.276,
F,5,Sample X65,0.364,
F,6,Sample X66,0.373,
F,7,Sample X67,0.323,
F,8,Sample X68,0.340,
F,9,Sample X69,0.350,
F,10,Sample X70,0.356,
F,11,Sample X71,0.040,
F,12,Sample X72,0.045,
G,1,Sample X73,0.039,
G,2,Sample X74,0.045,
G,3,Sample X75,0.046,
G,4,Sample X76,0.044,
G,5,Sample X77,0.043,
G,6,Sample X78,0.044,
G,7,Sample X79,0.046,
G,8,Sample X80,0.043,
G,9,Sample X81,0.048,
G,10,Sample X82,0.046,
G,11,Sample X83,0.045,
G,12,Sample X84,0.045,
H,1,Sample X85,0.046,
H,2,Sample X86,0.040,
H,3,Sample X87,0.047,
H,4,Sample X88,0.048,
H,5,Sample X89,0.044,
H,6,Sample X90,0.046,
H,7,Sample X91,0.045,
H,8,Sample X92,0.044,
H,9,Sample X93,0.044,
H,10,Sample X94,0.045,
H,11,Sample X95,0.046,
H,12,Sample X96,0.045,
