User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 10
Test name: A750,Date: 10/27/2017,Time: 2:41:05 PM
Absorbance

Well Row,Well Col,Content,Raw Data (750BP),
A,1,Sample X1,0.473,
A,2,Sample X2,0.363,
A,3,Sample X3,0.306,
A,4,Sample X4,0.275,
A,5,Sample X5,0.257,
A,6,Sample X6,0.229,
A,7,Sample X7,0.444,
A,8,Sample X8,0.354,
A,9,Sample X9,0.285,
A,10,Sample X10,0.256,
A,11,Sample X11,0.246,
A,12,Sample X12,0.227,
B,1,Sample X13,0.352,
B,2,Sample X14,0.328,
B,3,Sample X15,0.280,
B,4,Sample X16,0.272,
B,5,Sample X17,0.350,
B,6,Sample X18,0.334,
B,7,Sample X19,0.276,
B,8,Sample X20,0.269,
B,9,Sample X21,0.266,
B,10,Sample X22,0.258,
B,11,Sample X23,0.283,
B,12,Sample X24,0.279,
C,1,Sample X25,0.288,
C,2,Sample X26,0.289,
C,3,Sample X27,0.274,
C,4,Sample X28,0.276,
C,5,Sample X29,0.300,
C,6,Sample X30,0.288,
C,7,Sample X31,0.302,
C,8,Sample X32,0.288,
C,9,Sample X33,0.298,
C,10,Sample X34,0.278,
C,11,Sample X35,0.278,
C,12,Sample X36,0.258,
D,1,Sample X37,0.327,
D,2,Sample X38,0.323,
D,3,Sample X39,0.329,
D,4,Sample X40,0.325,
D,5,Sample X41,0.326,
D,6,Sample X42,0.309,
D,7,Sample X43,0.311,
D,8,Sample X44,0.303,
D,9,Sample X45,0.328,
D,10,Sample X46,0.298,
D,11,Sample X47,0.309,
D,12,Sample X48,0.295,
E,1,Sample X49,0.328,
E,2,Sample X50,0.297,
E,3,Sample X51,0.047,
E,4,Sample X52,0.043,
E,5,Sample X53,0.046,
E,6,Sample X54,0.046,
E,7,Sample X55,0.044,
E,8,Sample X56,0.041,
E,9,Sample X57,0.053,
E,10,Sample X58,0.049,
E,11,Sample X59,0.046,
E,12,Sample X60,0.047,
F,1,Sample X61,0.046,
F,2,Sample X62,0.045,
F,3,Sample X63,0.044,
F,4,Sample X64,0.045,
F,5,Sample X65,0.044,
F,6,Sample X66,0.043,
F,7,Sample X67,0.047,
F,8,Sample X68,0.046,
F,9,Sample X69,0.047,
F,10,Sample X70,0.046,
F,11,Sample X71,0.043,
F,12,Sample X72,0.044,
G,1,Sample X73,0.046,
G,2,Sample X74,0.046,
G,3,Sample X75,0.043,
G,4,Sample X76,0.047,
G,5,Sample X77,0.045,
G,6,Sample X78,0.050,
G,7,Sample X79,0.047,
G,8,Sample X80,0.043,
G,9,Sample X81,0.042,
G,10,Sample X82,0.047,
G,11,Sample X83,0.042,
G,12,Sample X84,0.047,
H,1,Sample X85,0.043,
H,2,Sample X86,0.044,
H,3,Sample X87,0.051,
H,4,Sample X88,0.046,
H,5,Sample X89,0.043,
H,6,Sample X90,0.046,
H,7,Sample X91,0.046,
H,8,Sample X92,0.042,
H,9,Sample X93,0.047,
H,10,Sample X94,0.045,
H,11,Sample X95,0.043,
H,12,Sample X96,0.046,
